BGPG_1_c0_g1	AT2G03760.1
BGPG_16338_c0_g1	AT5G64610.1
BGPG_16339_c1_g2	AT5G47580.1
BGPG_16342_c0_g1	AT1G24764.1
BGPG_16343_c0_g1	AT1G77140.1
BGPG_16345_c0_g1	AT5G24510.1
BGPG_16345_c0_g4	AT5G24510.1
BGPG_16346_c0_g2	AT3G15270.1
BGPG_16346_c1_g1	AT1G53160.2
BGPG_16346_c2_g1	AT3G60300.1
BGPG_16347_c0_g3	AT1G07570.4
BGPG_16347_c0_g4	AT2G23770.1
BGPG_16348_c0_g1	AT1G10340.1
BGPG_16350_c0_g1	AT3G24450.1
BGPG_16351_c0_g1	AT1G08220.2
BGPG_16353_c1_g1	AT3G27150.2
BGPG_16356_c0_g2	AT3G08530.1
BGPG_16357_c0_g1	AT4G11060.1
BGPG_16357_c0_g2	AT4G11060.1
BGPG_16358_c0_g1	AT1G76880.1
BGPG_16359_c0_g1	AT3G02555.2
BGPG_16359_c0_g2	AT3G02555.2
BGPG_16360_c0_g1	AT1G08570.1
BGPG_16360_c0_g2	AT1G08570.1
BGPG_16362_c0_g3	AT2G21970.1
BGPG_16364_c0_g2	AT2G13600.1
BGPG_16365_c0_g1	AT1G31430.2
BGPG_16365_c0_g2	AT1G31430.2
BGPG_16365_c0_g3	AT1G18485.1
BGPG_16366_c0_g1	AT3G17310.3
BGPG_16368_c0_g1	AT5G50670.2
BGPG_16369_c0_g2	AT4G29560.1
BGPG_16370_c0_g1	AT1G71695.1
BGPG_16371_c0_g2	AT1G55730.2
BGPG_16374_c0_g2	AT1G19430.2
BGPG_16375_c1_g1	AT2G26840.1
BGPG_16375_c1_g3	AT2G26840.1
BGPG_16376_c0_g2	AT5G57590.1
BGPG_16377_c0_g1	AT1G05000.1
BGPG_16378_c0_g1	AT3G14460.1
BGPG_16379_c0_g1	AT2G21330.2
BGPG_16380_c0_g3	AT2G31260.1
BGPG_16381_c0_g1	AT2G15020.1
BGPG_16381_c2_g1	AT4G02110.1
BGPG_16382_c0_g1	AT5G25150.1
BGPG_16386_c0_g1	AT5G02100.1
BGPG_16387_c1_g2	AT4G21065.1
BGPG_16388_c0_g1	AT1G03475.1
BGPG_16389_c0_g1	AT1G51550.1
BGPG_1639_c0_g2	AT2G46225.3
BGPG_16390_c1_g1	AT2G03140.6
BGPG_16391_c0_g1	AT5G66560.2
BGPG_16396_c0_g1	AT5G27550.2
BGPG_16396_c1_g1	AT5G27550.2
BGPG_16397_c0_g1	AT1G48850.3
BGPG_16399_c0_g1	AT5G44860.2
BGPG_16399_c0_g2	AT4G19950.1
BGPG_16400_c0_g2	AT1G27990.1
BGPG_16401_c0_g1	AT5G64740.1
BGPG_16404_c0_g1	AT1G32550.1
BGPG_16405_c0_g3	AT2G25620.2
BGPG_16406_c0_g1	AT5G52440.1
BGPG_16406_c0_g2	AT5G52440.1
BGPG_16409_c0_g1	AT1G12940.1
BGPG_16410_c0_g1	AT5G08380.1
BGPG_16412_c0_g1	AT2G21860.1
BGPG_16413_c0_g1	AT4G27220.2
BGPG_16413_c0_g3	AT4G27220.1
BGPG_16414_c0_g1	AT2G46710.1
BGPG_16415_c0_g1	AT1G78610.1
BGPG_16416_c1_g3	AT2G44860.2
BGPG_16417_c0_g1	AT3G19630.1
BGPG_16418_c0_g1	AT1G19180.3
BGPG_16418_c0_g2	AT1G19180.2
BGPG_16419_c0_g1	AT5G26250.1
BGPG_16419_c0_g3	AT5G26340.1
BGPG_16421_c0_g1	AT5G55190.1
BGPG_16424_c0_g1	AT3G49750.1
BGPG_16424_c0_g2	AT3G49750.1
BGPG_16425_c0_g1	AT5G19930.2
BGPG_16426_c0_g1	AT1G22460.1
BGPG_16427_c1_g1	AT5G55510.1
BGPG_16431_c0_g2	AT2G04570.1
BGPG_16432_c0_g1	AT1G14870.2
BGPG_16433_c0_g1	AT3G51610.1
BGPG_16434_c0_g1	AT4G25570.2
BGPG_16434_c1_g1	AT1G64510.1
BGPG_16436_c0_g1	AT3G02885.1
BGPG_16437_c0_g1	AT2G39710.1
BGPG_16437_c1_g1	AT3G15570.1
BGPG_16437_c1_g2	AT3G15570.1
BGPG_16439_c0_g2	AT1G19640.1
BGPG_16439_c0_g4	AT1G19640.1
BGPG_16440_c0_g1	AT5G60660.1
BGPG_16440_c0_g2	AT2G37170.2
BGPG_16441_c0_g1	AT4G37180.3
BGPG_16443_c0_g1	AT3G52820.1
BGPG_16443_c0_g2	AT3G52820.1
BGPG_16444_c0_g1	AT1G61720.1
BGPG_16448_c0_g1	AT5G59500.1
BGPG_16450_c0_g1	AT2G20515.1
BGPG_16451_c0_g1	AT5G24080.2
BGPG_16454_c0_g2	AT1G69060.1
BGPG_16456_c0_g1	AT3G03050.1
BGPG_16457_c0_g1	AT2G37390.2
BGPG_16459_c0_g3	AT5G43190.1
BGPG_16461_c0_g1	AT5G03990.1
BGPG_16461_c0_g3	AT5G19290.1
BGPG_16462_c0_g2	AT3G59630.3
BGPG_16465_c0_g1	AT3G22990.1
BGPG_16466_c2_g1	AT1G34630.1
BGPG_16466_c2_g3	AT1G34630.2
BGPG_16467_c0_g1	AT3G29230.1
BGPG_16468_c0_g2	AT1G52640.1
BGPG_16470_c0_g1	AT5G37840.1
BGPG_16471_c0_g2	AT4G26270.1
BGPG_16473_c0_g1	AT3G63140.1
BGPG_16473_c0_g2	AT3G63140.1
BGPG_16474_c0_g2	AT4G25810.1
BGPG_16477_c0_g1	AT5G63500.1
BGPG_16478_c0_g1	AT1G68530.2
BGPG_16478_c0_g2	AT1G68530.1
BGPG_16480_c1_g1	AT2G28690.1
BGPG_16480_c1_g4	AT2G28690.1
BGPG_16485_c0_g1	AT2G40980.1
BGPG_16488_c0_g1	AT4G26965.1
BGPG_16489_c0_g1	AT1G21360.1
BGPG_16490_c0_g1	AT5G67090.1
BGPG_16490_c0_g2	AT2G32560.2
BGPG_16491_c0_g1	AT3G51140.1
BGPG_16492_c0_g1	AT2G37560.1
BGPG_16493_c0_g2	AT1G67370.1
BGPG_16494_c0_g2	AT3G04940.2
BGPG_16495_c0_g3	AT2G25470.1
BGPG_16495_c0_g5	AT1G74190.1
BGPG_16496_c0_g1	AT3G26810.1
BGPG_16499_c0_g2	AT5G63870.3
BGPG_16500_c0_g1	AT5G62290.2
BGPG_16501_c0_g1	AT4G10310.1
BGPG_16502_c0_g1	AT5G43680.2
BGPG_16503_c0_g1	AT1G07570.4
BGPG_16503_c0_g2	AT1G07570.4
BGPG_16507_c0_g1	AT1G11870.3
BGPG_16508_c0_g1	AT4G22290.1
BGPG_16509_c0_g1	AT1G30690.2
BGPG_16510_c0_g1	AT5G56940.1
BGPG_16513_c0_g1	AT2G26060.1
BGPG_16513_c0_g2	AT2G26060.1
BGPG_16514_c0_g2	AT1G19340.1
BGPG_16515_c0_g1	AT5G13450.1
BGPG_16517_c0_g2	AT1G20890.1
BGPG_16521_c0_g3	AT1G06840.1
BGPG_16522_c0_g1	AT2G35470.1
BGPG_16524_c0_g1	AT3G10960.1
BGPG_16525_c0_g1	AT2G32700.6
BGPG_16526_c0_g1	AT3G16500.1
BGPG_16526_c1_g1	AT3G16500.1
BGPG_16528_c1_g1	AT5G56600.1
BGPG_16528_c1_g2	AT2G19770.1
BGPG_16529_c0_g1	AT1G49850.1
BGPG_16530_c0_g1	AT3G54470.1
BGPG_16531_c0_g3	AT4G15550.1
BGPG_16532_c0_g1	AT3G60870.1
BGPG_16532_c0_g2	AT4G22810.1
BGPG_16533_c0_g1	AT1G76690.1
BGPG_16534_c1_g1	AT3G18730.1
BGPG_16534_c2_g1	AT3G18730.1
BGPG_16535_c0_g1	AT5G60710.1
BGPG_16541_c0_g1	AT1G53300.1
BGPG_16542_c0_g1	AT2G36530.2
BGPG_16543_c0_g2	AT3G12580.1
BGPG_16544_c2_g1	AT3G12120.2
BGPG_16545_c0_g1	AT1G11050.1
BGPG_16547_c0_g1	AT1G01200.1
BGPG_16548_c0_g1	AT3G08920.1
BGPG_16550_c0_g1	AT3G51890.1
BGPG_16551_c0_g1	AT4G07400.1
BGPG_16552_c0_g1	AT5G45590.1
BGPG_16553_c0_g1	AT5G47940.1
BGPG_16554_c0_g2	AT1G04980.1
BGPG_16555_c0_g1	AT2G36880.2
BGPG_16555_c0_g2	AT2G36880.2
BGPG_16556_c0_g1	AT2G35510.2
BGPG_16556_c1_g1	AT2G35510.2
BGPG_16557_c0_g2	AT5G17680.1
BGPG_16559_c0_g1	AT1G27180.2
BGPG_16561_c0_g1	AT5G08390.1
BGPG_16562_c1_g1	AT1G55300.1
BGPG_16563_c0_g1	AT3G07870.1
BGPG_16564_c0_g1	AT5G61790.1
BGPG_16567_c0_g1	AT2G05830.4
BGPG_16568_c0_g1	AT1G49320.1
BGPG_16569_c0_g2	AT1G20930.1
BGPG_16570_c0_g1	AT5G53560.1
BGPG_16571_c0_g1	AT3G18260.1
BGPG_16572_c0_g1	AT4G24320.1
BGPG_16573_c0_g2	AT4G24680.1
BGPG_16573_c0_g3	AT4G24680.5
BGPG_16574_c0_g1	AT3G54820.1
BGPG_16575_c1_g1	AT2G41835.1
BGPG_16577_c0_g1	AT5G20300.3
BGPG_16578_c0_g1	AT5G02020.1
BGPG_16579_c1_g1	AT2G21660.2
BGPG_16580_c0_g1	AT1G69390.1
BGPG_16582_c0_g2	AT5G67610.1
BGPG_16583_c0_g2	AT1G19870.2
BGPG_16586_c0_g1	AT5G08350.1
BGPG_16587_c0_g1	AT1G07090.1
BGPG_16587_c0_g2	AT5G28490.1
BGPG_16588_c0_g1	AT4G37280.1
BGPG_16589_c0_g1	AT1G72180.1
BGPG_16591_c0_g2	AT1G13810.1
BGPG_16592_c0_g1	AT1G48840.1
BGPG_16594_c0_g3	AT1G08550.3
BGPG_16597_c0_g1	AT5G04820.1
BGPG_16599_c0_g1	AT3G60400.1
BGPG_16600_c0_g1	AT5G39840.1
BGPG_16601_c0_g1	AT1G07740.1
BGPG_16602_c0_g1	AT3G52150.2
BGPG_16603_c0_g1	AT5G27930.3
BGPG_16604_c0_g1	AT3G07690.2
BGPG_16605_c0_g1	AT4G32605.1
BGPG_16608_c0_g1	AT5G50120.1
BGPG_16609_c0_g1	AT4G10050.1
BGPG_16610_c0_g1	AT5G25610.1
BGPG_16612_c0_g4	AT3G09430.1
BGPG_16614_c0_g3	AT2G27680.1
BGPG_16615_c0_g2	AT3G13110.1
BGPG_16615_c1_g2	AT2G28370.1
BGPG_16616_c0_g1	AT3G48050.2
BGPG_16617_c0_g2	AT1G76710.2
BGPG_16619_c0_g1	AT3G04750.1
BGPG_16620_c0_g1	AT2G38480.1
BGPG_16620_c0_g2	AT2G38480.1
BGPG_16621_c0_g1	AT5G63970.2
BGPG_16622_c0_g1	AT1G05190.1
BGPG_16624_c0_g1	AT2G43210.3
BGPG_16626_c0_g2	AT4G14305.1
BGPG_16627_c0_g2	AT4G30220.2
BGPG_16631_c0_g1	AT5G16340.1
BGPG_16631_c0_g2	AT5G16340.1
BGPG_16633_c0_g2	AT5G35550.1
BGPG_16634_c0_g1	AT2G33530.1
BGPG_16635_c0_g1	AT2G32990.1
BGPG_16636_c0_g1	AT3G21200.1
BGPG_16637_c0_g1	AT1G04520.1
BGPG_16638_c0_g2	AT4G00893.1
BGPG_16639_c0_g1	AT5G03190.1
BGPG_16639_c0_g3	AT3G53400.1
BGPG_16640_c1_g1	AT1G45160.2
BGPG_16641_c0_g1	AT1G34360.3
BGPG_16645_c0_g1	AT1G12520.2
BGPG_16646_c0_g1	AT2G15695.1
BGPG_16647_c0_g1	AT5G56280.1
BGPG_16648_c0_g1	AT5G40650.1
BGPG_16649_c0_g1	AT2G31820.1
BGPG_1665_c0_g1	AT2G28315.1
BGPG_16651_c0_g1	AT4G27030.1
BGPG_16653_c0_g1	AT5G52860.1
BGPG_16654_c0_g1	AT1G58330.1
BGPG_16655_c0_g1	AT5G18570.1
BGPG_16656_c0_g1	AT4G14750.1
BGPG_16657_c0_g1	AT1G53510.1
BGPG_16658_c0_g1	AT4G36630.1
BGPG_16660_c0_g1	AT5G66530.4
BGPG_16661_c0_g1	AT5G16950.1
BGPG_16664_c0_g1	AT4G21300.1
BGPG_16665_c0_g1	AT5G55970.2
BGPG_16665_c0_g2	AT4G26580.2
BGPG_16669_c0_g2	AT5G23740.1
BGPG_16670_c0_g2	AT1G09220.1
BGPG_16671_c0_g1	AT5G13730.1
BGPG_16672_c0_g2	AT2G38420.1
BGPG_16674_c0_g1	AT1G02460.1
BGPG_16675_c0_g2	AT2G44510.1
BGPG_16676_c0_g1	AT2G19130.1
BGPG_16678_c0_g1	AT5G67150.1
BGPG_16679_c0_g1	AT2G32280.2
BGPG_16680_c0_g1	AT5G13700.1
BGPG_16681_c0_g2	AT4G36730.2
BGPG_16682_c0_g1	AT3G20340.1
BGPG_16684_c0_g1	AT3G52090.1
BGPG_16684_c0_g3	AT3G52090.1
BGPG_16685_c0_g1	AT5G37550.1
BGPG_16686_c0_g1	AT1G04610.1
BGPG_16687_c0_g2	AT4G17940.1
BGPG_16689_c0_g1	AT5G19540.2
BGPG_16692_c0_g2	AT1G60870.1
BGPG_16694_c0_g1	AT5G38480.3
BGPG_16697_c0_g2	AT1G51980.1
BGPG_16697_c0_g5	AT1G51980.1
BGPG_16698_c0_g1	AT5G06430.1
BGPG_16699_c0_g1	AT4G04970.1
BGPG_16699_c0_g3	AT4G04970.1
BGPG_16701_c0_g2	AT3G56710.2
BGPG_16703_c0_g1	AT3G19450.1
BGPG_16705_c0_g1	AT5G46240.1
BGPG_16706_c0_g8	AT5G55810.1
BGPG_16707_c0_g1	AT1G59740.1
BGPG_16709_c0_g1	AT5G14700.1
BGPG_16712_c0_g1	AT2G14750.1
BGPG_16714_c0_g1	AT5G42680.2
BGPG_16715_c0_g1	AT4G37650.1
BGPG_16716_c0_g2	AT3G19420.1
BGPG_16719_c0_g1	AT4G11420.1
BGPG_1672_c0_g1	AT4G14960.1
BGPG_16720_c0_g1	AT4G36790.1
BGPG_16721_c2_g1	AT5G35100.3
BGPG_16722_c0_g2	AT5G19910.1
BGPG_16723_c0_g1	AT3G13677.3
BGPG_16725_c0_g3	AT1G07090.1
BGPG_16725_c0_g4	AT1G07090.1
BGPG_16726_c0_g2	AT4G26410.1
BGPG_16728_c0_g1	AT2G45620.1
BGPG_16729_c0_g3	AT1G78140.1
BGPG_16730_c0_g1	AT3G26580.1
BGPG_16731_c0_g2	AT2G43000.1
BGPG_16731_c0_g3	AT3G12910.1
BGPG_16732_c0_g1	AT4G28990.1
BGPG_16734_c0_g1	AT2G32460.1
BGPG_16735_c0_g1	AT1G20090.1
BGPG_16736_c1_g1	AT2G38290.1
BGPG_16736_c1_g2	AT2G38290.2
BGPG_16737_c2_g1	AT4G00850.1
BGPG_16737_c2_g2	AT4G00850.1
BGPG_16739_c0_g1	AT3G25120.1
BGPG_16741_c0_g1	AT2G31040.1
BGPG_16742_c0_g1	AT4G32850.10
BGPG_16743_c0_g1	AT3G60860.1
BGPG_16744_c0_g2	AT1G32900.1
BGPG_16745_c0_g1	AT4G14550.2
BGPG_16747_c1_g2	AT3G16640.1
BGPG_16748_c1_g1	AT3G59080.1
BGPG_16750_c0_g1	AT4G14455.1
BGPG_16750_c1_g1	AT3G62270.1
BGPG_16751_c0_g1	AT1G56120.2
BGPG_16754_c0_g1	AT3G49870.1
BGPG_16755_c0_g1	AT2G41610.1
BGPG_16756_c0_g1	AT4G02990.2
BGPG_16757_c0_g1	AT1G62305.2
BGPG_16758_c0_g1	AT2G05920.1
BGPG_16758_c0_g2	AT2G05920.1
BGPG_16759_c0_g1	AT3G59030.1
BGPG_16761_c0_g1	AT1G57820.3
BGPG_16763_c1_g1	AT5G15880.1
BGPG_16763_c1_g2	AT5G15880.1
BGPG_16764_c0_g1	AT2G47420.1
BGPG_16765_c0_g2	AT1G78540.1
BGPG_16766_c0_g2	AT5G59890.1
BGPG_16768_c0_g1	AT5G12000.2
BGPG_16771_c0_g1	AT1G77420.1
BGPG_16773_c0_g2	AT5G06590.1
BGPG_16774_c0_g1	AT2G32650.2
BGPG_16778_c0_g1	AT2G16120.1
BGPG_16779_c1_g2	AT2G28605.1
BGPG_16780_c0_g3	AT4G27745.4
BGPG_16780_c0_g5	AT4G27745.4
BGPG_16781_c0_g1	AT1G49660.1
BGPG_16782_c0_g1	AT5G19330.1
BGPG_16784_c0_g1	AT1G61790.2
BGPG_16787_c0_g1	AT5G28530.3
BGPG_16789_c0_g1	AT2G22490.2
BGPG_16791_c0_g1	AT1G43900.1
BGPG_16792_c0_g1	AT3G47120.2
BGPG_16792_c0_g2	AT3G47120.2
BGPG_16793_c0_g2	AT3G63380.1
BGPG_16793_c0_g3	AT3G63380.1
BGPG_16794_c0_g2	AT2G17040.1
BGPG_16794_c2_g1	AT3G03980.1
BGPG_16794_c2_g2	AT3G03980.1
BGPG_16796_c0_g1	AT2G47440.2
BGPG_16797_c0_g1	AT5G58430.1
BGPG_16798_c0_g1	AT5G25930.1
BGPG_16799_c0_g1	AT1G10150.1
BGPG_16799_c0_g2	AT1G10150.1
BGPG_16799_c0_g4	AT1G10150.1
BGPG_16800_c0_g1	AT1G79740.4
BGPG_16801_c0_g1	AT1G35460.1
BGPG_16803_c0_g1	AT4G16650.2
BGPG_16804_c0_g2	AT3G16370.1
BGPG_16805_c0_g2	AT2G22140.2
BGPG_16806_c0_g1	AT1G08490.1
BGPG_16807_c0_g2	AT1G45616.1
BGPG_16807_c0_g3	AT1G45616.1
BGPG_16807_c0_g4	AT3G11010.1
BGPG_16808_c0_g2	AT4G25280.2
BGPG_16809_c0_g2	AT1G62310.1
BGPG_16811_c0_g1	AT2G18630.2
BGPG_16811_c0_g2	AT2G18630.1
BGPG_16812_c0_g2	AT2G23360.1
BGPG_16812_c0_g4	AT2G23360.1
BGPG_16812_c0_g5	AT2G23360.1
BGPG_16813_c2_g1	AT1G76080.1
BGPG_16813_c2_g3	AT1G27430.3
BGPG_16814_c0_g2	AT4G29310.1
BGPG_16815_c0_g1	AT5G38970.4
BGPG_16815_c0_g2	AT3G30180.1
BGPG_16815_c0_g3	AT5G38970.4
BGPG_16816_c0_g1	AT2G41370.1
BGPG_16817_c0_g1	AT1G61600.1
BGPG_16821_c0_g1	AT4G12110.1
BGPG_16822_c0_g1	AT4G25300.1
BGPG_16822_c1_g1	AT3G20770.1
BGPG_16823_c0_g1	AT3G22270.1
BGPG_16823_c0_g2	AT3G22270.1
BGPG_16825_c0_g1	AT5G54310.1
BGPG_16826_c0_g1	AT3G07550.2
BGPG_16827_c0_g1	AT5G67470.1
BGPG_16828_c0_g2	AT4G21065.2
BGPG_16829_c0_g1	AT3G12660.1
BGPG_16829_c0_g2	AT2G24440.1
BGPG_16829_c0_g3	AT2G24440.1
BGPG_16830_c0_g1	AT3G03773.1
BGPG_16833_c0_g1	AT1G77760.1
BGPG_16833_c0_g4	AT1G77760.1
BGPG_16834_c0_g1	AT3G63090.1
BGPG_16835_c0_g3	AT2G46680.1
BGPG_16836_c0_g1	AT3G16190.1
BGPG_16837_c0_g1	AT1G65020.1
BGPG_16838_c0_g1	AT3G13690.3
BGPG_16839_c0_g1	AT2G38110.1
BGPG_16842_c0_g1	AT5G15010.1
BGPG_16843_c0_g1	AT5G58590.1
BGPG_16844_c0_g1	AT5G47610.1
BGPG_16845_c0_g2	AT1G66140.1
BGPG_16846_c0_g1	AT3G19010.2
BGPG_16846_c1_g2	AT3G19000.2
BGPG_16846_c1_g3	AT3G19000.1
BGPG_16846_c4_g1	AT3G19000.1
BGPG_16848_c0_g3	AT5G47360.1
BGPG_16850_c0_g1	AT4G21110.2
BGPG_16853_c0_g1	AT3G08030.1
BGPG_16854_c0_g1	AT1G68560.1
BGPG_16855_c0_g1	AT4G32350.3
BGPG_16856_c0_g1	AT5G07990.1
BGPG_16858_c0_g1	AT5G49710.3
BGPG_16859_c1_g1	AT4G34150.1
BGPG_16861_c0_g3	AT3G14460.1
BGPG_16861_c0_g5	AT3G14460.1
BGPG_16862_c0_g1	AT2G41290.1
BGPG_16863_c0_g1	AT3G03300.3
BGPG_16865_c0_g2	AT1G76980.1
BGPG_16867_c0_g2	AT2G20900.3
BGPG_16868_c1_g1	AT4G24930.1
BGPG_16868_c1_g2	AT4G24930.1
BGPG_16868_c2_g2	AT2G45910.2
BGPG_16870_c0_g1	AT1G61560.1
BGPG_16874_c0_g1	AT3G07870.1
BGPG_16875_c0_g1	AT5G05240.2
BGPG_16876_c0_g2	AT5G03160.1
BGPG_16877_c0_g1	AT4G31790.2
BGPG_16877_c0_g2	AT4G31790.2
BGPG_16877_c0_g3	AT4G31790.2
BGPG_16878_c0_g2	AT1G76160.1
BGPG_16879_c0_g2	AT1G06270.1
BGPG_16881_c0_g1	AT4G18030.1
BGPG_16882_c0_g1	AT2G23970.1
BGPG_16882_c0_g2	AT2G23960.1
BGPG_16884_c0_g2	AT3G63530.2
BGPG_16885_c0_g1	AT1G80840.1
BGPG_16887_c0_g1	AT2G44740.1
BGPG_16888_c0_g1	AT1G07780.7
BGPG_16889_c0_g1	AT5G07900.1
BGPG_16892_c1_g1	AT5G59010.2
BGPG_16894_c0_g1	AT3G13770.2
BGPG_16895_c0_g1	AT3G61650.1
BGPG_16896_c0_g1	AT2G03220.1
BGPG_16897_c0_g1	AT1G33440.1
BGPG_16898_c0_g1	AT1G25360.1
BGPG_16898_c1_g1	AT1G52590.1
BGPG_16899_c0_g5	AT3G45070.1
BGPG_16900_c0_g1	AT2G04240.2
BGPG_16901_c0_g1	AT2G35660.3
BGPG_16902_c0_g2	AT1G02860.1
BGPG_16903_c0_g1	AT1G31600.4
BGPG_16906_c0_g2	AT1G69850.1
BGPG_16907_c0_g1	AT2G28600.1
BGPG_16908_c0_g2	AT3G49880.1
BGPG_16910_c0_g1	AT2G21660.2
BGPG_16911_c0_g1	AT2G21520.1
BGPG_16913_c0_g2	AT2G38910.1
BGPG_16913_c1_g1	AT1G30630.1
BGPG_16913_c1_g3	AT1G24270.1
BGPG_16913_c1_g4	AT1G24270.1
BGPG_16914_c0_g2	AT3G57320.1
BGPG_16916_c1_g1	AT3G45890.1
BGPG_16917_c0_g1	AT5G67260.1
BGPG_16917_c0_g2	AT5G67260.1
BGPG_16920_c0_g1	AT1G54140.1
BGPG_16921_c0_g2	AT1G34580.1
BGPG_16922_c0_g1	AT4G27130.1
BGPG_16922_c0_g2	AT4G13010.1
BGPG_16923_c0_g1	AT1G50575.1
BGPG_16924_c0_g1	AT4G31270.1
BGPG_16925_c0_g2	AT5G57250.1
BGPG_16926_c0_g1	AT4G35770.6
BGPG_16927_c0_g1	AT4G04930.1
BGPG_16928_c0_g1	AT1G18740.1
BGPG_16928_c0_g2	AT1G18740.1
BGPG_16929_c1_g1	AT5G60850.1
BGPG_16929_c1_g2	AT1G51700.1
BGPG_16929_c2_g1	AT3G47550.1
BGPG_16931_c0_g2	AT5G62200.1
BGPG_16932_c0_g1	AT3G23920.1
BGPG_16933_c1_g1	AT1G06840.1
BGPG_16934_c0_g1	AT2G29050.2
BGPG_16935_c0_g1	AT1G77180.2
BGPG_16936_c0_g1	AT4G33090.1
BGPG_16937_c0_g2	AT3G11320.1
BGPG_16938_c0_g1	AT1G23870.1
BGPG_16939_c0_g1	AT2G16050.1
BGPG_16939_c1_g2	AT1G50870.1
BGPG_16940_c0_g3	AT5G65280.2
BGPG_16941_c0_g1	AT5G50740.5
BGPG_16943_c0_g1	AT5G08550.1
BGPG_16944_c0_g1	AT5G38470.1
BGPG_16946_c0_g2	AT5G01650.1
BGPG_16947_c0_g1	AT5G64420.1
BGPG_16948_c0_g2	AT3G32930.2
BGPG_16949_c0_g1	AT5G45275.1
BGPG_16951_c0_g2	AT5G46210.1
BGPG_16952_c0_g1	AT5G22400.1
BGPG_16952_c1_g2	AT5G22400.1
BGPG_16952_c1_g3	AT5G22400.1
BGPG_16954_c0_g1	AT1G53280.1
BGPG_16957_c0_g2	AT1G03130.1
BGPG_16958_c0_g2	AT2G30695.3
BGPG_16959_c0_g1	AT3G13380.1
BGPG_1696_c0_g1	AT2G31180.1
BGPG_16960_c0_g1	AT3G23990.1
BGPG_16962_c0_g4	AT4G23160.3
BGPG_16964_c1_g1	AT3G49470.1
BGPG_16964_c1_g2	AT3G49470.1
BGPG_16965_c0_g1	AT2G41670.1
BGPG_16966_c0_g3	AT1G15420.1
BGPG_16967_c0_g1	AT4G26850.1
BGPG_16968_c0_g1	AT1G35510.1
BGPG_16970_c0_g1	AT5G48460.1
BGPG_16970_c0_g3	AT5G48460.1
BGPG_16971_c0_g1	AT4G38380.3
BGPG_16972_c0_g2	AT5G59750.1
BGPG_16973_c0_g1	AT5G22340.1
BGPG_16974_c0_g1	AT3G25800.3
BGPG_16975_c0_g1	AT3G55620.1
BGPG_16976_c0_g1	AT4G12070.1
BGPG_16978_c0_g1	AT2G20725.1
BGPG_16979_c0_g1	AT4G01897.1
BGPG_16980_c0_g1	AT5G13460.1
BGPG_16981_c0_g1	AT5G60200.1
BGPG_16982_c0_g2	AT2G16900.7
BGPG_16982_c0_g3	AT2G16900.7
BGPG_16984_c0_g1	AT1G74530.2
BGPG_16985_c0_g3	AT1G17140.2
BGPG_16987_c0_g2	AT5G18750.1
BGPG_16988_c0_g2	AT1G21790.1
BGPG_16989_c0_g1	AT1G07750.1
BGPG_1699_c0_g1	AT1G32330.2
BGPG_16990_c0_g2	AT5G01920.2
BGPG_16991_c0_g1	AT2G18410.1
BGPG_16992_c0_g1	AT4G27730.1
BGPG_16993_c0_g1	AT1G63300.1
BGPG_16993_c0_g2	AT1G63300.1
BGPG_16993_c0_g3	AT1G63300.1
BGPG_16996_c0_g1	AT5G64320.1
BGPG_16997_c0_g1	AT5G67385.1
BGPG_16998_c0_g1	AT2G31810.1
BGPG_17000_c0_g1	AT5G53330.1
BGPG_17001_c0_g1	AT5G58600.1
BGPG_17002_c0_g1	AT5G27690.1
BGPG_17005_c0_g1	AT2G41350.1
BGPG_17007_c1_g1	AT2G34650.1
BGPG_17007_c1_g2	AT2G34650.1
BGPG_17009_c0_g1	AT1G31410.1
BGPG_17010_c0_g1	AT4G35300.5
BGPG_17011_c0_g1	AT1G56130.2
BGPG_17012_c0_g1	AT5G50890.1
BGPG_17013_c0_g1	AT3G11820.2
BGPG_17014_c0_g1	AT3G56140.3
BGPG_17015_c0_g1	AT1G74240.2
BGPG_17016_c0_g1	AT3G13772.1
BGPG_17016_c0_g2	AT3G13772.1
BGPG_17018_c0_g1	AT3G05520.1
BGPG_17019_c0_g1	AT4G34750.2
BGPG_17020_c0_g1	AT1G06990.1
BGPG_17026_c0_g1	AT3G59200.1
BGPG_17027_c0_g1	AT4G30000.1
BGPG_17029_c0_g1	AT5G27120.1
BGPG_17031_c0_g3	AT3G60480.2
BGPG_17032_c0_g2	AT5G26920.1
BGPG_17032_c1_g1	AT5G57580.1
BGPG_17032_c2_g1	AT5G26920.3
BGPG_17037_c1_g1	AT5G09530.1
BGPG_17038_c0_g1	AT1G27300.1
BGPG_17039_c0_g1	AT3G04910.1
BGPG_17040_c1_g1	AT2G30380.1
BGPG_17041_c0_g1	AT4G24210.1
BGPG_17041_c0_g2	AT4G24210.1
BGPG_17044_c1_g1	AT5G52640.1
BGPG_17044_c2_g1	AT5G52640.1
BGPG_17045_c0_g1	AT4G33050.3
BGPG_17048_c0_g1	AT1G80050.2
BGPG_17050_c0_g1	AT4G37470.1
BGPG_17051_c0_g3	AT2G33560.1
BGPG_17052_c0_g3	AT4G13010.1
BGPG_17053_c0_g1	AT3G22690.2
BGPG_17054_c0_g1	AT1G22640.3
BGPG_17056_c0_g1	AT3G23330.1
BGPG_17056_c1_g1	AT3G49170.1
